dataset;algoritmo;MV;metric2
NBA_3200;baseline;7680;0.85
NBA_3200;pipeline;11520;0.32
NBA_3200;baseline;11520;0.55
NBA_3200;pipeline;15360;0.2
NBA_3200;baseline;15360;0.28
NBA_3200;pipeline;19200;0.25
NBA_3200;baseline;19200;0.33
superstore_4500;pipeline;495;0.22
superstore_4500;baseline;495;1.0
superstore_4500;pipeline;990;0.19
superstore_4500;baseline;990;1.0
superstore_4500;pipeline;1485;0.24
superstore_4500;baseline;1485;1.0
superstore_4500;pipeline;1980;0.31
superstore_4500;baseline;1980;1.0
superstore_4500;pipeline;2475;0.2
superstore_4500;baseline;2475;1.0
superstore_4500;pipeline;4950;0.24
superstore_4500;baseline;4950;1.0
superstore_4500;pipeline;9900;0.29
superstore_4500;baseline;9900;1.0
superstore_4500;pipeline;14850;0.24
superstore_4500;baseline;14850;1.0
superstore_4500;pipeline;19800;0.25
superstore_4500;baseline;19800;0.9
superstore_4500;pipeline;24750;0.22
superstore_4500;baseline;24750;0.54
US_Presidents_3754;pipeline;375;0.79
US_Presidents_3754;baseline;375;0.78
US_Presidents_3754;pipeline;751;0.79
US_Presidents_3754;baseline;751;0.84
US_Presidents_3754;pipeline;1126;0.74
US_Presidents_3754;baseline;1126;0.89
US_Presidents_3754;pipeline;1502;0.64
US_Presidents_3754;baseline;1502;0.86
US_Presidents_3754;pipeline;1877;0.66
US_Presidents_3754;baseline;1877;0.91
US_Presidents_3754;pipeline;3754;0.54
US_Presidents_3754;baseline;3754;0.94
US_Presidents_3754;pipeline;7508;0.56
US_Presidents_3754;baseline;7508;0.86
US_Presidents_3754;pipeline;11262;0.51
US_Presidents_3754;baseline;11262;0.79
US_Presidents_3754;pipeline;15016;0.28
US_Presidents_3754;baseline;15016;0.41
US_Presidents_3754;pipeline;18770;0.23
US_Presidents_3754;baseline;18770;0.39
cars;pipeline;37;0.75
cars;baseline;37;0.74
cars;pipeline;73;0.8
cars;baseline;73;0.78
cars;pipeline;110;0.7
cars;baseline;110;0.75
cars;pipeline;146;0.7
cars;baseline;146;0.64
cars;pipeline;183;0.74
cars;baseline;183;0.75
cars;pipeline;365;0.66
cars;baseline;365;0.67
cars;pipeline;731;0.62
cars;baseline;731;0.49
cars;pipeline;1096;0.44
cars;baseline;1096;0.57
cars;pipeline;1462;0.32
cars;baseline;1462;0.78
cars;pipeline;1827;0.05
cars;baseline;1827;1.0
police;pipeline;198;0.03
police;baseline;198;0.27
police;pipeline;397;0.04
police;baseline;397;0.41
police;pipeline;595;0.07
police;baseline;595;0.44
police;pipeline;793;0.09
police;baseline;793;0.45
police;pipeline;992;0.11
police;baseline;992;0.52
police;pipeline;1984;0.11
police;baseline;1984;0.56
police;pipeline;3967;0.19
police;baseline;3967;0.79
police;pipeline;5951;0.23
police;baseline;5951;0.96
police;pipeline;7934;0.34
police;baseline;7934;1.0
police;pipeline;9918;0.43
police;baseline;9918;1.0
restaurant;pipeline;52;0.08
restaurant;baseline;52;0.28
restaurant;pipeline;104;0.08
restaurant;baseline;104;0.54
restaurant;pipeline;156;0.1
restaurant;baseline;156;0.78
restaurant;pipeline;207;0.13
restaurant;baseline;207;0.71
restaurant;pipeline;259;0.12
restaurant;baseline;259;0.59
restaurant;pipeline;518;0.18
restaurant;baseline;518;0.75
restaurant;pipeline;1037;0.23
restaurant;baseline;1037;0.82
restaurant;pipeline;1555;0.25
restaurant;baseline;1555;1.0
restaurant;pipeline;2074;0.32
restaurant;baseline;2074;1.0
restaurant;pipeline;2592;0.45
restaurant;baseline;2592;1.0
IoT_Telemetry3000;pipeline;240;0.35
IoT_Telemetry3000;baseline;240;1.0
IoT_Telemetry3000;pipeline;480;0.42
IoT_Telemetry3000;baseline;480;1.0
IoT_Telemetry3000;pipeline;720;0.32
IoT_Telemetry3000;baseline;720;1.0
IoT_Telemetry3000;pipeline;960;0.32
IoT_Telemetry3000;baseline;960;1.0
IoT_Telemetry3000;pipeline;1200;0.42
IoT_Telemetry3000;baseline;1200;1.0
IoT_Telemetry3000;pipeline;2400;0.27
IoT_Telemetry3000;baseline;2400;1.0
IoT_Telemetry3000;pipeline;4800;0.57
IoT_Telemetry3000;baseline;4800;1.0
IoT_Telemetry3000;pipeline;7200;0.38
IoT_Telemetry3000;baseline;7200;1.0
IoT_Telemetry3000;pipeline;9600;0.46
IoT_Telemetry3000;baseline;9600;1.0
IoT_Telemetry3000;pipeline;12000;0.28
IoT_Telemetry3000;baseline;12000;1.0
Air_9000;pipeline;1170;0.19
Air_9000;baseline;1170;0.96
Air_9000;pipeline;2340;0.2
Air_9000;baseline;2340;0.99
Air_9000;pipeline;3510;0.21
Air_9000;baseline;3510;1.0
Air_9000;pipeline;4680;0.21
Air_9000;baseline;4680;1.0
Air_9000;pipeline;5850;0.21
Air_9000;baseline;5850;1.0
Air_9000;pipeline;11700;0.24
Air_9000;baseline;11700;1.0
Air_9000;pipeline;23400;0.26
Air_9000;baseline;23400;0.99
Air_9000;pipeline;35100;0.27
Air_9000;baseline;35100;0.74
Air_9000;pipeline;46800;0.25
Air_9000;baseline;46800;0.46
Air_9000;pipeline;58500;0.25
Air_9000;baseline;58500;0.39
Cats_1071;pipeline;107;1.0
Cats_1071;baseline;107;1.0
Cats_1071;pipeline;214;1.0
Cats_1071;baseline;214;1.0
Cats_1071;pipeline;321;0.99
Cats_1071;baseline;321;1.0
Cats_1071;pipeline;428;0.99
Cats_1071;baseline;428;1.0
Cats_1071;pipeline;536;1.0
Cats_1071;baseline;536;1.0
Cats_1071;pipeline;1071;0.85
Cats_1071;baseline;1071;1.0
Cats_1071;pipeline;2142;0.58
Cats_1071;baseline;2142;1.0
Cats_1071;pipeline;3213;0.39
Cats_1071;baseline;3213;0.4
Cats_1071;pipeline;4284;0.35
Cats_1071;baseline;4284;0.54
Cats_1071;pipeline;5355;0.33
Cats_1071;baseline;5355;0.38
