dataset;algoritmo;MV;metric1
police;pipeline;7934;0.7
police;baseline;7934;1.0
police;pipeline;9918;0.82
police;baseline;9918;1.0
restaurant;pipeline;52;0.38
restaurant;baseline;52;0.5
restaurant;pipeline;104;0.4
restaurant;baseline;104;0.66
restaurant;pipeline;156;0.44
restaurant;baseline;156;0.84
restaurant;pipeline;207;0.5
restaurant;baseline;207;0.79
restaurant;pipeline;259;0.44
restaurant;baseline;259;0.72
restaurant;pipeline;518;0.58
restaurant;baseline;518;0.84
restaurant;pipeline;1037;0.7
restaurant;baseline;1037;0.89
restaurant;pipeline;1555;0.71
restaurant;baseline;1555;1.0
restaurant;pipeline;2074;0.81
restaurant;baseline;2074;1.0
restaurant;pipeline;2592;0.86
restaurant;baseline;2592;1.0
IoT_Telemetry3000;pipeline;240;0.86
IoT_Telemetry3000;baseline;240;1.0
IoT_Telemetry3000;pipeline;480;0.89
IoT_Telemetry3000;baseline;480;1.0
IoT_Telemetry3000;pipeline;720;0.88
IoT_Telemetry3000;baseline;720;1.0
IoT_Telemetry3000;pipeline;960;0.89
IoT_Telemetry3000;baseline;960;1.0
IoT_Telemetry3000;pipeline;1200;0.89
IoT_Telemetry3000;baseline;1200;1.0
IoT_Telemetry3000;pipeline;2400;0.89
IoT_Telemetry3000;baseline;2400;1.0
IoT_Telemetry3000;pipeline;4800;0.94
IoT_Telemetry3000;baseline;4800;1.0
IoT_Telemetry3000;pipeline;7200;0.91
IoT_Telemetry3000;baseline;7200;1.0
IoT_Telemetry3000;pipeline;9600;0.92
IoT_Telemetry3000;baseline;9600;1.0
IoT_Telemetry3000;pipeline;12000;0.91
IoT_Telemetry3000;baseline;12000;1.0
Air_9000;pipeline;1170;0.3
Air_9000;baseline;1170;0.97
Air_9000;pipeline;2340;0.37
Air_9000;baseline;2340;0.99
Air_9000;pipeline;3510;0.4
Air_9000;baseline;3510;1.0
Air_9000;pipeline;4680;0.45
Air_9000;baseline;4680;1.0
Air_9000;pipeline;5850;0.47
Air_9000;baseline;5850;1.0
Air_9000;pipeline;11700;0.57
Air_9000;baseline;11700;1.0
Air_9000;pipeline;23400;0.63
Air_9000;baseline;23400;0.99
Air_9000;pipeline;35100;0.68
Air_9000;baseline;35100;0.84
Air_9000;pipeline;46800;0.62
Air_9000;baseline;46800;0.77
Air_9000;pipeline;58500;0.62
Air_9000;baseline;58500;0.81
Cats_1071;pipeline;107;1.0
Cats_1071;baseline;107;1.0
Cats_1071;pipeline;214;1.0
Cats_1071;baseline;214;1.0
Cats_1071;pipeline;321;0.99
Cats_1071;baseline;321;1.0
Cats_1071;pipeline;428;0.99
Cats_1071;baseline;428;1.0
Cats_1071;pipeline;536;1.0
Cats_1071;baseline;536;1.0
Cats_1071;pipeline;1071;0.94
Cats_1071;baseline;1071;1.0
Cats_1071;pipeline;2142;0.93
Cats_1071;baseline;2142;1.0
Cats_1071;pipeline;3213;0.89
Cats_1071;baseline;3213;0.84
Cats_1071;pipeline;4284;0.91
Cats_1071;baseline;4284;0.96
Cats_1071;pipeline;5355;0.9
Cats_1071;baseline;5355;0.98
