Dataset,Missing Rate,RFDs Found,RFDs Not Found,Generalizations,Specializations,New RFDs
motogp,20,4.87,2.7,18.92,73.51,68.46
motogp,30,34.6,7.57,18.92,38.92,66.47
motogp,40,35.13,5.41,17.3,42.16,69.5
motogp,50,42.16,8.65,17.3,31.89,68.89
nba,1,9.23,36.93,0.0,53.85,46.68
nba,2,9.23,37.44,0.51,52.82,48.99
nba,3,6.67,36.92,0.0,56.41,49.78
nba,4,8.21,39.49,0.51,51.79,54.35
nba,5,7.18,38.46,1.02,53.33,52.08
nba,10,3.08,37.44,0.51,58.97,60.17
nba,20,2.56,37.44,2.05,57.95,71.46
nba,30,6.67,11.79,3.59,77.95,73.47
nba,40,18.46,0.0,13.33,68.2,71.47
nba,50,24.62,7.69,13.84,53.84,70.55
superstore,1,67.04,17.78,13.33,1.85,29.53
superstore,2,70.37,15.56,10.74,3.33,29.7
superstore,3,53.33,16.3,26.67,3.7,35.3
superstore,4,40.74,21.11,35.18,2.96,34.25
superstore,5,40.37,7.41,40.37,11.85,34.0
superstore,10,19.26,5.56,60.74,14.45,48.4
superstore,20,8.52,7.78,61.11,22.59,54.5
superstore,30,6.67,0.74,71.11,21.48,63.06
superstore,40,8.52,2.96,71.85,16.67,62.85
superstore,50,16.67,1.48,71.85,10.0,54.27
president,1,14.29,76.19,0.0,9.52,86.04
president,2,14.29,76.19,0.0,9.52,87.52
president,3,14.29,69.52,0.0,16.19,87.44
president,4,14.29,56.19,0.0,29.52,87.73
president,5,11.43,58.1,0.0,30.48,80.62
president,10,8.57,41.91,0.0,49.52,79.18
president,20,5.71,43.81,0.0,50.48,76.42
president,30,0.0,35.24,0.0,64.76,74.9
president,40,0.95,3.81,0.0,95.24,68.87
president,50,15.24,2.86,0.0,81.91,74.29
cars,1,3.03,67.28,0.0,29.69,75.99
cars,2,3.03,74.55,0.0,22.42,83.51
cars,3,3.03,61.22,0.0,35.75,71.67
cars,4,2.42,61.22,0.61,35.75,73.92
cars,5,3.03,66.06,0.0,30.91,70.92
cars,10,2.42,55.76,0.0,41.82,58.0
cars,20,0.0,49.7,1.82,48.48,46.22
cars,30,0.61,25.45,0.61,73.33,56.52
cars,40,21.21,16.97,2.42,59.4,51.51
cars,50,78.79,0.0,2.42,18.79,49.43
police,1,91.85,1.48,3.7,2.96,1.62
police,2,90.37,1.48,6.67,1.48,1.38
police,3,81.48,3.7,14.07,0.74,4.82
police,4,71.85,2.22,25.19,0.74,5.07
police,5,65.18,3.7,24.45,6.67,6.27
police,10,61.48,1.48,35.55,1.48,12.25
police,20,38.52,4.44,57.04,0.0,21.09
police,30,30.37,7.41,60.0,2.22,41.46
police,40,14.81,16.3,65.18,3.7,47.05
police,50,1.48,24.44,74.08,0.0,60.44
restaurant,1,66.67,0.0,0.0,33.33,25.0
restaurant,2,66.67,0.0,0.0,33.33,27.44
restaurant,3,60.0,0.0,6.67,33.33,30.55
restaurant,4,46.67,0.0,20.0,33.33,33.14
restaurant,5,50.0,0.0,16.67,33.33,25.71
restaurant,10,26.67,0.0,40.0,33.33,36.7
restaurant,20,20.0,3.33,46.67,30.0,49.87
restaurant,30,20.0,6.67,50.0,23.33,52.5
restaurant,40,13.34,13.33,60.0,13.33,63.17
restaurant,50,10.0,30.0,50.0,10.0,73.11
IoT_Telemetry,1,33.33,26.66,20.0,33.33,81.38
IoT_Telemetry,2,33.33,33.33,0.0,33.33,84.08
IoT_Telemetry,3,33.33,20.0,0.0,46.67,80.75
IoT_Telemetry,4,33.33,20.0,0.0,46.67,81.79
IoT_Telemetry,5,33.33,33.33,0.0,33.33,84.08
IoT_Telemetry,10,33.33,13.33,0.0,53.33,81.46
IoT_Telemetry,20,13.33,46.67,0.0,40.0,89.13
IoT_Telemetry,30,20.0,23.33,0.0,56.67,84.55
IoT_Telemetry,40,16.67,33.33,0.0,50.0,85.92
IoT_Telemetry,50,26.67,13.33,0.0,60.0,83.07
Air_9000,1,64.84,13.44,21.32,0.4,9.33
Air_9000,2,55.76,11.96,31.76,0.52,16.48
Air_9000,3,50.2,11.44,37.28,1.08,17.89
Air_9000,4,40.4,8.28,50.6,0.72,22.71
Air_9000,5,38.08,7.96,53.44,0.52,26.02
Air_9000,10,18.8,4.68,75.52,1.0,33.18
Air_9000,20,5.24,3.44,90.92,0.4,35.11
Air_9000,30,0.0,2.56,97.24,0.2,46.89
Air_9000,40,0.12,0.0,99.8,0.08,33.6
Air_9000,50,0.16,0.0,99.8,0.04,43.29
Cats_1071,1,0.0,100.0,0.0,0.0,100.0
Cats_1071,2,0.0,100.0,0.0,0.0,100.0
Cats_1071,3,0.0,98.33,1.67,0.0,96.0
Cats_1071,4,0.0,98.33,1.67,0.0,96.0
Cats_1071,5,0.0,100.0,0.0,0.0,100.0
Cats_1071,10,0.0,80.0,8.33,11.67,79.26
Cats_1071,20,11.67,48.33,16.67,23.33,71.38
Cats_1071,30,28.33,28.33,16.67,26.67,73.41
Cats_1071,40,18.33,20.0,16.67,45.0,76.02
Cats_1071,50,40.0,23.33,16.67,20.0,77.58
