bikes_4100_14760_5.csvriga;nome attributo;valore da imputare;valore imputato
1134;company;Hero;Harley-Davidson
2524;owner;second;first
858;mileage;40.0;?
3408;power;19.8;?
2225;price;65000;?
1449;location;ahmedabad;?
483;mileage;35.0;?
775;kms_driven;10000;?
4033;mileage;65.0;?
3267;location;chandigarh;?
2028;price;66000;?
2805;power;47.0;47.0
898;model_year;2019;?
2326;model;Avenger;?
3633;price;45000;?
2820;kms_driven;6000;?
1726;model;Street;?
2589;price;105000;?
1613;model_year;2013;2012
1953;company;KTM;Royal-Enfield
1768;model_year;2014;?
3895;company;Hero;?
2562;owner;first;first
44;kms_driven;38000;?
3900;power;14.3;19.8
51;location;bangalore;?
720;model;CD;?
2333;price;105000;?
1896;mileage;35.0;?
775;price;85000;?
419;owner;second;first
1780;kms_driven;24537;?
2612;mileage;26.0;?
943;company;KTM;?
1542;model;FZ25;?
1181;model;Classic;?
1573;price;82000;?
1152;location;jaipur;?
1845;price;102100;?
2188;kms_driven;10388;?
2888;kms_driven;8500;?
3568;location;mumbai;?
3738;kms_driven;1174;?
1563;company;KTM;KTM
3331;owner;second;first
3475;mileage;50.0;?
896;price;38000;?
2004;company;Hero;?
32;power;24.6;?
1643;power;19.1;?
2514;model_year;2017;?
59;price;70000;?
3509;kms_driven;7500;?
4046;power;7.7;?
3064;power;19.8;?
1378;power;19.8;8.2
612;model_year;2016;?
478;company;Bajaj;Hero
362;mileage;75.0;?
3714;owner;first;first
3475;company;Bajaj;?
312;mileage;42.0;?
1648;mileage;40.0;?
1652;model_year;2017;2017
2049;mileage;62.0;?
1529;owner;first;first
2780;owner;first;first
1543;kms_driven;11900;?
741;company;Royal-Enfield;Royal-Enfield
1826;power;19.8;?
3064;kms_driven;17200;?
1219;model_year;2018;?
3603;power;19.8;?
1723;kms_driven;18500;?
912;owner;first;first
2347;model_year;2018;?
757;model;Classic;?
4062;mileage;35.0;?
4095;model_year;2014;?
2946;model;RC;?
416;location;delhi;?
239;model_year;2016;2017
1850;owner;first;first
1798;location;ahmedabad;?
3780;kms_driven;3648;?
704;owner;first;first
16;power;19.8;?
347;owner;second;first
109;price;165000;?
895;kms_driven;32604;?
407;power;8.2;8.2
621;company;Bajaj;?
1338;kms_driven;46530;?
1133;model_year;2016;?
761;company;Royal-Enfield;Royal-Enfield
1540;model;RC;?
725;price;110000;?
3254;owner;first;first
965;model_year;2020;2016
701;owner;first;first
1442;model;Xtreme;?
1549;company;Yamaha;?
717;power;9.0;?
3285;kms_driven;15000;?
4063;owner;first;first
867;company;Royal-Enfield;Royal-Enfield
1529;kms_driven;4200;?
1620;model_year;2017;2018
14;mileage;53.0;?
1002;model;Pulsar;?
3370;company;Hero;?
2556;model;Classic;?
1263;mileage;45.0;?
1506;model_year;2006;?
3328;owner;first;first
2298;kms_driven;26500;?
2345;price;135000;?
3599;model;Classic;?
1902;power;12.2;?
3527;price;16000;?
394;company;Bajaj;Hero
3235;location;hyderabad;?
1184;location;bangalore;?
1103;model_year;2017;2016
3856;price;112200;?
1291;price;145100;?
872;company;KTM;KTM
2332;power;8.2;?
880;price;107000;?
1343;company;Yamaha;?
1746;price;25000;?
3589;model_year;2017;2016
611;mileage;65.0;?
3839;kms_driven;6000;?
1209;company;Royal-Enfield;?
1257;model_year;2011;2018
4023;power;8.2;8.2
640;company;Bajaj;Hero
2486;price;115800;?
3294;model_year;2012;2016
2874;price;50000;?
2631;kms_driven;10000;?
2111;mileage;35.0;?
3067;owner;first;first
3624;model;Classic;?
2750;owner;first;first
684;owner;first;first
822;company;Hero;Hero
245;company;Hero;Bajaj
3351;company;Bajaj;Royal-Enfield
2809;location;delhi;?
1288;mileage;35.0;?
3242;power;24.5;?
866;power;19.8;?
1152;model_year;2014;?
2931;company;Harley-Davidson;?
911;company;Yamaha;Harley-Davidson
2345;power;19.8;?
656;company;Bajaj;Royal-Enfield
3886;company;Royal-Enfield;Harley-Davidson
3837;mileage;35.0;?
808;location;mumbai;?
855;model_year;2019;2015
1021;price;38000;?
1099;mileage;45.0;?
495;mileage;65.0;?
72;kms_driven;956;?
2584;model;Classic;?
1193;owner;first;first
330;mileage;32.0;?
3188;model;Duke;?
2602;model_year;2017;2017
3767;model;Thunderbird;?
523;kms_driven;600;?
3507;model_year;2014;?
921;mileage;45.0;?
749;owner;first;first
2088;price;99999;?
907;mileage;35.0;?
3735;model_year;2010;2017
1818;location;ahmedabad;?
1470;location;mumbai;?
536;power;19.8;?
2031;power;19.8;?
792;company;Royal-Enfield;Royal-Enfield
3025;location;ahmedabad;?
1491;price;125000;?
2962;model;YZF-R15;?
167;power;9.0;?
174;owner;first;first
1848;mileage;83.0;?
3403;owner;second;first
2127;model_year;2015;2016
361;company;Bajaj;Royal-Enfield
3055;model;Splendor;?
2302;kms_driven;23000;?
1431;mileage;40.0;?
1563;power;42.3;?
760;mileage;53.0;?
2233;location;mumbai;?
660;owner;first;first
2768;price;41000;?
622;owner;first;first
1519;price;97000;?
1083;owner;first;first
4038;power;8.2;?
37;model_year;2017;2017
996;price;80000;?
3282;model_year;2015;2018
1769;model;Gixxer;?
3407;company;Bajaj;?
274;model_year;2018;?
700;kms_driven;14733;?
2310;model_year;2019;2018
2683;power;19.8;?
2924;kms_driven;411;?
2650;location;delhi;?
3304;location;hyderabad;?
943;kms_driven;8000;?
1009;kms_driven;26000;?
2145;location;ahmedabad;?
3852;price;82750;?
301;location;gurgaon;?
619;price;52000;?
2620;company;Royal-Enfield;?
3893;owner;first;first
4045;company;Royal-Enfield;?
2512;model_year;2017;?
962;model_year;2013;2015
2888;company;Royal-Enfield;Royal-Enfield
2681;price;150000;?
1556;price;191937;?
288;mileage;50.0;?
1994;model_year;2017;?
3371;location;ahmedabad;?
548;power;21.0;?
3619;model_year;2018;?
2667;company;Bajaj;?
1470;kms_driven;23000;?
1958;location;mumbai;?
1692;company;Royal-Enfield;Royal-Enfield
2435;owner;first;first
560;price;180000;?
1862;model;Thunderbird;?
899;company;UM;Royal-Enfield
696;company;KTM;Benelli
2327;kms_driven;16000;?
2082;company;Bajaj;Bajaj
3769;price;96400;?
1794;company;Royal-Enfield;?
1967;kms_driven;12331;?
2950;company;Yamaha;KTM
1525;location;bangalore;?
3470;model;Classic;?
1682;power;15.0;?
2574;price;110000;?
1264;owner;first;first
4085;power;21.0;8.2
341;power;19.8;?
3656;mileage;25.0;?
611;model_year;2016;?
2671;power;20.3;?
1593;model_year;2016;?
582;company;Royal-Enfield;?
1813;mileage;20.0;?
3494;power;27.2;?
8;kms_driven;26240;?
3537;price;380000;?
2116;company;Royal-Enfield;?
76;model;FZs;?
3330;model_year;2015;2017
1906;mileage;25.0;?
1374;price;121000;?
3238;company;Suzuki;Hero
2135;location;mumbai;?
2902;model_year;2018;2018
2380;company;Bajaj;?
346;mileage;63.0;?
2675;power;8.0;?
3271;price;185000;?
3968;company;Royal-Enfield;Royal-Enfield
1373;price;166000;?
101;price;93999;?
1542;location;pune;?
658;owner;first;first
2220;power;197.3;?
2444;mileage;40.0;?
3192;model_year;2017;2018
3924;price;141375;?
3737;kms_driven;25500;?
3697;location;bangalore;?
4030;model;V15;?
778;model_year;2020;?
498;price;163000;?
3509;location;mumbai;?
2544;price;38300;?
2516;location;delhi;?
1975;model_year;2013;2012
1818;model_year;2016;?
2044;location;mumbai;?
3527;kms_driven;42662;?
362;location;delhi;?
481;company;Bajaj;?
2968;kms_driven;7054;?
3073;mileage;32.0;?
3168;model_year;2016;2016
500;model_year;2019;?
750;price;89900;?
3398;location;hyderabad;?
673;price;38000;?
4069;company;Hero;?
1608;kms_driven;28500;?
2525;model_year;2015;2016
3404;company;Royal-Enfield;Harley-Davidson
410;model;Passion;?
3810;owner;first;first
2118;model;Classic;?
3364;mileage;65.0;?
4066;model_year;2011;2010
2050;mileage;35.0;?
3681;owner;first;first
715;model_year;2016;2018
1226;company;Royal-Enfield;Royal-Enfield
1733;owner;first;first
2329;model;Classic;?
1945;company;Bajaj;Hero
410;kms_driven;19526;?
1111;model_year;2017;?
888;owner;first;first
205;owner;first;first
1245;price;160000;?
308;location;gurgaon;?
2808;model;Mojo;?
3216;kms_driven;28000;?
3722;mileage;35.0;?
630;power;26.15;?
2923;mileage;20.0;?
3781;company;Hero;Hero
3681;model;Thunderbird;?
1991;company;Royal-Enfield;Harley-Davidson
1835;company;Yamaha;Royal-Enfield
1127;owner;first;first
4078;company;Hero;Hero
1269;company;Royal-Enfield;Royal-Enfield
3845;price;43000;?
2561;power;24.8;?
3495;company;Harley-Davidson;Kawasaki
3576;model;YZF-R15;?
2155;kms_driven;11045;?
2860;price;34500;?
1697;power;19.8;?
2578;price;95000;?
3629;model_year;2018;?
3255;owner;first;first
2455;company;Yamaha;?
3000;company;Royal-Enfield;?
3443;model_year;2012;2017
766;owner;first;first
2717;company;Hero;Hero
4084;owner;first;first
3851;location;bangalore;?
2892;location;mumbai;?
765;company;Royal-Enfield;?
2725;owner;first;first
2062;mileage;40.0;?
2512;company;Bajaj;?
1310;owner;first;first
687;power;19.8;?
2182;mileage;26.0;?
3896;model;Centuro;?
768;kms_driven;33000;?
920;company;Royal-Enfield;Harley-Davidson
1941;mileage;25.0;?
2549;price;165000;?
1672;model;Thunderbird;?
2380;owner;first;first
1568;location;delhi;?
224;power;14.0;?
11;location;delhi;?
496;power;25.0;?
1049;power;16.7;?
781;mileage;35.0;?
1937;price;221000;?
2388;price;130000;?
2189;price;95000;?
3528;power;11.8;?
3222;location;vadodara;?
1224;price;104000;?
2597;price;100000;?
594;owner;first;first
2023;owner;first;first
31;model_year;2009;2017
2993;company;Royal-Enfield;?
393;company;Hero;Hero
3027;power;24.8;?
1908;power;12.32;?
564;company;Bajaj;?
2144;mileage;26.0;?
3278;price;200000;?
1895;model_year;2015;2015
3983;location;delhi;?
846;kms_driven;38000;?
1910;location;bangalore;?
2012;power;8.5;?
3375;location;gurgaon;?
3024;mileage;40.0;?
3447;power;8.2;?
375;mileage;26.0;?
3649;owner;first;first
2903;power;8.39;?
1281;power;16.0;?
561;power;19.8;?
3024;owner;first;first
1159;owner;first;first
2258;location;mumbai;?
1235;model;Platina;?
4041;model_year;2018;2018
1184;price;75000;?
3356;model;YZF-R15;?
930;model;Bullet;?
1678;owner;first;first
357;mileage;40.0;?
1966;mileage;55.0;?
2515;company;Royal-Enfield;?
3629;kms_driven;10000;?
137;price;135000;?
3074;owner;first;first
2039;kms_driven;3500;?
1154;power;44.0;25.0
3662;model_year;2014;2018
3023;model_year;2018;2017
412;company;Bajaj;?
4090;model;Star;?
2623;model;Classic;?
3089;company;Bajaj;Hero
850;price;126100;?
3579;location;mumbai;?
86;mileage;38.0;?
2788;location;lucknow;?
3732;owner;first;first
1121;power;19.0;8.2
2065;model_year;2006;2014
2869;model_year;2016;2017
3983;model_year;2018;?
1584;model;Electra;?
1977;price;120000;?
2834;price;27000;?
4046;mileage;65.0;?
3712;price;52600;?
86;power;21.0;?
2965;price;120000;?
2016;model_year;2019;2018
3834;power;7.5;?
109;company;Royal-Enfield;Royal-Enfield
1882;company;Hero;?
1719;kms_driven;75000;?
1897;model;Avenger;?
3057;model;Classic;?
2383;model_year;2017;2012
1052;model;Classic;?
2808;price;101000;?
1439;model;Splendor;?
3799;company;Yamaha;?
2222;model_year;2016;?
3065;model;Glamour;?
2331;power;19.8;?
1509;price;30000;?
2842;model_year;2018;2013
3585;kms_driven;16527;?
2366;location;hyderabad;?
3654;price;100000;?
3245;kms_driven;40000;?
1483;kms_driven;8000;?
86;price;58200;?
1030;power;15.0;?
351;company;Royal-Enfield;Royal-Enfield
1683;model;Classic;?
776;mileage;42.0;?
1526;kms_driven;18000;?
423;mileage;53.0;?
2207;model_year;2019;2021
4052;model;Pulsar;?
42;kms_driven;34000;?
2476;power;42.3;?
2921;company;Bajaj;?
829;power;19.0;?
2072;power;19.8;27.2
3177;mileage;40.0;?
1218;kms_driven;43500;?
1608;model_year;2018;?
971;location;bangalore;?
1737;model_year;2007;2017
1464;company;Harley-Davidson;Triumph
1651;model_year;2018;2018
1683;model_year;2018;?
1033;location;bangalore;?
2249;price;28000;?
3491;power;15.0;17.0
3226;location;kolkata;?
2442;mileage;25.0;?
2536;location;meerut;?
3593;model;V15;?
3577;company;Bajaj;Harley-Davidson
88;price;40000;?
3411;location;delhi;?
3520;price;80000;?
467;model;Pulsar;?
3146;mileage;35.0;?
2935;kms_driven;38425;?
839;power;19.8;?
3372;power;19.0;?
1350;mileage;25.0;?
2791;model_year;2010;?
584;power;19.0;?
2528;power;20.0;?
2272;mileage;45.0;?
968;model_year;2011;?
1760;power;19.8;?
1366;company;Royal-Enfield;Royal-Enfield
3454;kms_driven;12000;?
1738;kms_driven;75000;?
700;power;19.8;?
2070;model;Avenger;?
23;kms_driven;50000;?
3646;owner;first;first
229;model_year;2019;2018
1979;model;Thunderbird;?
3999;power;8.5;8.2
3942;model;Electra;?
1679;company;TVS;Royal-Enfield
2030;kms_driven;20000;?
1520;model;Thunderbird;?
3378;location;delhi;?
4027;model;Avenger;?
164;location;bangalore;?
1848;model_year;2016;?
825;power;8.2;?
3517;location;delhi;?
1502;model_year;2017;?
1259;kms_driven;30300;?
2158;company;Royal-Enfield;Royal-Enfield
3853;mileage;35.0;?
3002;kms_driven;27000;?
2589;kms_driven;26850;?
4089;mileage;65.0;?
1160;owner;first;first
1152;price;18000;?
1217;company;Triumph;?
4072;model;Apache;?
3644;company;Bajaj;Hero
3024;location;delhi;?
2387;model;Glamour;?
3876;model_year;2014;2018
1753;company;Hero;?
3453;power;19.0;?
1562;model_year;2013;2018
334;owner;first;first
1271;price;78000;?
1896;company;KTM;Harley-Davidson
1230;mileage;50.0;?
3119;power;19.8;?
201;power;21.0;?
4060;price;32000;?
2519;owner;first;first
3778;power;18.1;?
1040;price;128600;?
2508;owner;first;first
3342;power;19.0;?
2576;location;pune;?
3382;company;Royal-Enfield;?
3472;company;Hero;Harley-Davidson
2039;power;19.8;19.8
3974;owner;first;first
342;model_year;2014;2016
1039;owner;first;first
377;owner;first;first
579;power;25.1;?
1718;mileage;57.0;?
2793;owner;first;first
1515;model_year;2016;2016
1188;model_year;2018;2019
3784;mileage;38.0;?
1914;location;delhi;?
2671;location;delhi;?
1657;price;124300;?
2989;price;69000;?
2815;model;RC;?
2247;location;jaipur;?
2853;owner;first;first
172;mileage;35.0;?
989;company;Bajaj;?
809;price;74400;?
3570;power;24.6;?
2355;kms_driven;13000;?
2711;price;48000;?
3153;mileage;40.0;?
3343;kms_driven;21749;?
460;owner;first;first
802;kms_driven;20850;?
440;price;38000;?
1325;kms_driven;27500;?
760;kms_driven;34600;?
1063;company;Hyosung;?
1271;location;bangalore;?
1759;owner;first;first
140;model_year;2016;?
1007;kms_driven;12500;?
23;mileage;55.0;?
121;owner;first;first
1776;owner;first;first
1908;kms_driven;58000;?
3378;kms_driven;20758;?
1977;model_year;2015;?
989;power;14.3;?
2586;power;42.3;?
178;power;14.0;?
3573;location;mumbai;?
3884;owner;first;first
305;power;8.17;?
1189;power;11.8;?
2309;price;105000;?
345;price;11250;?
2836;owner;first;first
166;price;22500;?
2162;price;60000;?
3733;company;Yamaha;Hero
3113;model;CB;?
3707;location;delhi;?
3037;mileage;35.0;?
3108;kms_driven;2000;?
1360;kms_driven;21000;?
383;owner;first;first
2349;company;Royal-Enfield;KTM
658;model;Pulsar;?
4029;company;Hero;?
1818;owner;first;first
254;location;chennai;?
553;price;113000;?
2210;location;chandigarh;?
424;owner;first;first
1333;kms_driven;19000;?
2557;owner;second;first
116;power;19.8;?
2933;owner;first;first
1268;owner;first;first
3006;owner;first;first
337;mileage;5.0;?
1078;kms_driven;25000;?
1855;location;bangalore;?
2805;model;Street;?
3855;owner;first;first
3140;location;delhi;?
1632;model_year;2017;2017
993;mileage;38.0;?
2057;model_year;2019;?
3456;model_year;2014;?
3260;power;8.2;?
2694;mileage;35.0;?
1037;location;kolkata;?
1593;owner;second;first
3543;price;62000;?
1695;mileage;25.0;?
1325;price;155000;?
2583;owner;first;first
2157;mileage;40.0;?
486;location;chennai;?
3326;company;Royal-Enfield;?
2262;model;Duke;?
3311;location;chennai;?
333;model;Gixxer;?
2526;company;KTM;?
2649;mileage;45.0;?
1967;owner;second;first
714;price;120000;?
2362;company;Bajaj;Royal-Enfield
2467;model_year;2009;2017
2672;mileage;42.0;?
1170;kms_driven;30000;?
304;kms_driven;13800;?
2199;mileage;35.0;?
3008;price;80000;?
2983;model;Thunderbird;?
754;kms_driven;29614;?
2137;owner;first;first
3478;model;V15;?
273;owner;first;first
3362;owner;first;first
3683;power;27.2;?
3727;model;Discover;?
622;mileage;45.0;?
412;model_year;2018;2015
3950;model_year;2001;2019
987;power;19.8;?
3796;model_year;2003;2018
2937;model;CBR;?
1522;company;Hero;?
3087;price;109500;?
2248;location;jaipur;?
1158;model;Avenger;?
1059;location;hyderabad;?
2622;location;pune;?
2888;location;lucknow;?
487;price;105000;?
1387;power;25.0;?
2713;mileage;38.0;?
4035;kms_driven;9526;?
3927;company;Bajaj;?
3708;model;Thunderbird;?
3993;location;chennai;?
1914;power;19.8;?
2102;kms_driven;7800;?
643;model;Gixxer;?
1050;model;Classic;?
1650;company;Yamaha;Harley-Davidson
3937;model_year;2012;?
1148;location;mumbai;?
1187;company;Hero;?
2287;kms_driven;26000;?
2527;company;UM;?
346;owner;first;first
3173;model_year;2013;2018
1852;location;delhi;?
3963;power;8.2;?
1284;price;40000;?
3851;owner;first;first
1133;owner;second;first
1628;model_year;2014;2015
1860;company;Bajaj;?
1755;model;Ninja;?
795;owner;first;first
4068;power;25.0;?
1836;mileage;67.0;?
2606;model;Thunderbird;?
2925;model_year;2015;?
2672;model_year;2017;?
2045;power;19.8;?
2033;model;Duke;?
2178;kms_driven;18000;?
962;owner;first;first
1785;power;74.0;67.2
2669;location;jalandhar;?
601;model_year;2020;2019
1729;company;Bajaj;Royal-Enfield
3969;mileage;45.0;?
3212;mileage;57.0;?
281;model;FZS;?
3806;kms_driven;24487;?
1734;power;17.0;?
3143;power;19.8;?
613;power;9.0;?
2566;model_year;2017;?
533;kms_driven;42000;?
2482;price;120000;?
985;model;Thunderbird;?
3428;price;186750;?
1554;mileage;64.0;?
2983;model_year;2008;2017
2283;mileage;35.0;?
2156;model_year;2015;2016
3251;kms_driven;10000;?
499;price;168000;?
2853;model;GT250R;?
3002;model;Karizma;?
3073;price;85000;?
580;model_year;2019;2017
38;owner;first;first
4022;mileage;38.0;?
2395;kms_driven;11000;?
3648;company;Hero;?
270;location;delhi;?
1462;owner;first;first
561;model;Bullet;?
1969;owner;first;first
808;mileage;26.0;?
3013;model;CBZ;?
1716;model;CBZ;?
1048;location;chandigarh;?
1443;kms_driven;20000;?
338;price;80000;?
1380;company;Royal-Enfield;?
1153;kms_driven;10000;?
971;company;Royal-Enfield;Royal-Enfield
1916;mileage;18.0;?
938;model;Bullet;?
1527;mileage;42.0;?
3156;location;ludhiana;?
3061;model;Classic;?
1724;location;bangalore;?
3381;model;Aquila;?
291;owner;second;first
480;price;58700;?
988;model_year;2018;2013
3558;owner;first;first
1294;mileage;32.0;?
94;power;19.8;?
349;owner;first;first
952;owner;first;first
297;model;Classic;?
2699;location;ahmedabad;?
3481;model;Classic;?
1053;location;delhi;?
338;model;Avenger;?
442;model;RC;?
67;location;ahmedabad;?
1417;model_year;2019;2020
3744;model_year;2016;2017
2320;model;Thunderbird;?
1626;power;19.1;?
767;kms_driven;16100;?
1785;model;Aquila;?
3161;company;Royal-Enfield;Harley-Davidson
2990;power;21.0;?
