id;name;style;breweryId;ounces;abv
2103;California Lager;American Amber / Red Lager;35;12.0;4.9
2102;Brotherhood Steam;California Common / Steam Beer;35;12.0;559.999.999.999.999
2291;Blood Orange Gose;Gose;171;12.0;4.2
1818;Keebarlin' Pale Ale;American Pale Ale (APA);171;12.0;4.2
1738;the Kimmie the Yink and the Holy Gose;Gose;171;12.0;4.8
1563;Fall Hornin';Pumpkin Ale;171;12.0;6.0
1520;Barney Flats Oatmeal Stout;Oatmeal Stout;171;12.0;5.7
1350;Summer Solstice;Cream Ale;171;12.0;559.999.999.999.999
1327;Hop Ottin' IPA;American IPA;171;12.0;7.000.000.000.000.000
1326;Boont Amber Ale;American Amber / Red Ale;171;12.0;579.999.999.999.999
1221;Barney Flats Oatmeal Stout;Oatmeal Stout;171;12.0;5.7
1217;El Steinber Dark Lager;Vienna Lager;171;16.0;5.5
811;Boont Amber Ale (2010);American Amber / Red Ale;171;12.0;579.999.999.999.999
753;Summer Solstice Cerveza Crema (2009);Cream Ale;171;12.0;559.999.999.999.999
572;Barney Flats Oatmeal Stout (2012);Oatmeal Stout;171;12.0;5.7
523;Winter Solstice;Winter Warmer;171;12.0;6.9
367;Hop Ottin' IPA (2011);American IPA;171;12.0;7.000.000.000.000.000
78;Boont Amber Ale (2011);American Amber / Red Ale;171;12.0;579.999.999.999.999
77;Summer Solstice (2011);Cream Ale;171;12.0;559.999.999.999.999
76;Poleeko Gold Pale Ale (2009);American Pale Ale (APA);171;12.0;5.5
2337;Charlie's Rye IPA;American IPA;146;16.0;6.0
410;River Pig Pale Ale;American Pale Ale (APA);542;16.0;5.4
409;Oaky's Oatmeal Stout;Oatmeal Stout;542;16.0;4.7
1294;Angry Orchard Apple Ginger;Cider;434;16.0;5.0
1293;Angry Orchard Crisp Apple;Cider;434;16.0;5.0
1292;Angry Orchard Crisp Apple;Cider;434;12.0;5.0
2207;Golden One;Belgian Pale Ale;193;12.0;6.800.000.000.000.000
2040;Arjuna;Witbier;193;12.0;6.0
2039;Uroboros;American Stout;193;12.0;8.5
2511;Long Leaf;American IPA;69;16.0;7.1
2510;Honey Badger Blonde;American Blonde Ale;69;16.0;4.7
2509;Porter (a/k/a Black Gold Porter);American Porter;69;16.0;6.0
413;Sky High Rye;American Pale Ale (APA);541;12.0;6.0
390;Whitsun;American Pale Wheat Ale;541;12.0;6.2
735;On-On Ale (2008);American Pale Ale (APA);513;12.0;5.2
1333;Quakertown Stout;American Double / Imperial Stout;426;12.0;9.2
1332;Greenbelt Farmhouse Ale;Saison / Farmhouse Ale;426;12.0;5.1
1172;Mo's Gose;Gose;461;16.0;5.2
1322;Green Bullet Organic India Pale Ale;American IPA;429;16.0;7.000.000.000.000.000
550;Rocket Girl;Kölsch;528;12.0;3.2
429;Ninja Porter;American Porter;528;12.0;5.3
428;Shiva IPA;American IPA;528;12.0;6.0
1640;Aslan Kölsch;Kölsch;353;16.0;4.8
1639;Aslan IPA;American IPA;353;16.0;7.7
1638;Aslan Amber;American Amber / Red Ale;353;16.0;7.7
597;This Season's Blonde;American Blonde Ale;523;12.0;559.999.999.999.999
596;Independence Pass Ale;American IPA;523;12.0;7.000.000.000.000.000
1580;Trolley Stop Stout;American Stout;374;12.0;5.7
980;Bitter Bitch Imperial IPA;American Double / Imperial IPA;374;12.0;819.999.999.999.999
979;Poop Deck Porter;American Porter;374;12.0;6.2
978;Old Red Beard Amber Ale;American Amber / Red Ale;374;12.0;6.0
2503;Hop A-Peel;American Double / Imperial IPA;72;16.0;7.5
2502;Vanilla Java Porter;American Porter;72;16.0;5.5
2495;Michelada;Fruit / Vegetable Beer;72;16.0;5.2
534;Dirty Blonde Ale;American Blonde Ale;72;12.0;4.5
528;Grand Circus IPA;American IPA;72;12.0;5.0
527;Atwater's Lager;Munich Helles Lager;72;12.0;5.0
1409;Heavy Machinery IPA Series #1: Heavy Fist;American Black Ale;413;16.0;7.000.000.000.000.000
343;Fire Eagle IPA;American IPA;413;12.0;6.2
342;Peacemaker;American Pale Ale (APA);413;12.0;5.1
341;Pearl-Snap;German Pilsener;413;12.0;5.3
340;Black Thunder;Schwarzbier;413;12.0;5.2
2589;Raja;American Double / Imperial IPA;37;12.0;8.0
2546;Perzik Saison;Saison / Farmhouse Ale;37;12.0;6.4
146;Avery Joe’s Premium American Pilsner;German Pilsener;37;12.0;4.7
108;White Rascal;Witbier;37;12.0;559.999.999.999.999
107;Avery India Pale Ale;American IPA;37;12.0;6.3
106;Ellie’s Brown Ale;American Brown Ale;37;12.0;5.5
1620;Pumpkin Beast;Pumpkin Ale;360;12.0;6.2
1579;OktoberBeast;Märzen / Oktoberfest;360;12.0;7.199.999.999.999.990
1228;Mad Beach;American Pale Wheat Ale;360;12.0;4.8
705;Hog Wild India Pale Ale;American IPA;360;12.0;6.7
704;Devils Tramping Ground Tripel;Tripel;360;12.0;9.2
702;Hot Rod Red;American Amber / Red Ale;360;12.0;6.1
2058;Palate Mallet;American Double / Imperial IPA;235;12.0;8.6
1483;Back East Porter;American Porter;235;12.0;6.0
1426;Back East Golden Ale;American Blonde Ale;235;12.0;4.9
1132;Misty Mountain IPA;American IPA;235;12.0;7.000.000.000.000.000
1131;Back East Ale;American Amber / Red Ale;235;12.0;5.0
1876;Truck Stop Honey Brown Ale;English Brown Ale;286;12.0;6.0
1875;Naked Pig Pale Ale;American Pale Ale (APA);286;12.0;6.0
966;Topcutter India Pale Ale;American IPA;483;12.0;6.800.000.000.000.000
965;Field 41 Pale Ale;American Pale Ale (APA);483;12.0;43.999.999.999.999.900
2593;Grapefruit Sculpin;American IPA;34;12.0;7.000.000.000.000.000
2105;Even Keel;American IPA;34;12.0;3.8
1401;Ballast Point Pale Ale;Kölsch;34;12.0;5.2
1400;Big Eye India Pale Ale;American IPA;34;12.0;7.000.000.000.000.000
1019;Longfin Lager;Munich Helles Lager;34;12.0;4.6
1018;Sculpin IPA;American IPA;34;12.0;7.000.000.000.000.000
1776;All Nighter Ale;Extra Special / Strong Bitter (ESB);318;12.0;4.5
1644;Banner American Rye;Rye Beer;318;12.0;4.5
1643;Banner American Ale;American Amber / Red Ale;318;12.0;35.000.000.000.000.000
2618;Thai.p.a;American IPA;20;16.0;7.000.000.000.000.000
2005;Barrio Blanco;American IPA;251;12.0;6.0
1343;Barrio Tucson Blonde;American Blonde Ale;251;12.0;4.5
2404;Hop in the ‘Pool Helles;American Pilsner;116;12.0;4.9
2323;Ultra Gnar Gnar IPA;American IPA;116;12.0;6.7
2189;In-Tents India Pale Lager;American Pale Lager;116;12.0;6.800.000.000.000.000
2188;Lost Meridian Wit;Witbier;116;12.0;5.0
2187;Celestial Meridian Cascadian Dark Lager;Euro Dark Lager;116;12.0;5.1
1966;Wagon Party;California Common / Steam Beer;258;12.0;5.4
1965;Sky-Five;American IPA;258;12.0;6.7
1964;Stargrazer;Schwarzbier;258;12.0;5.0
1963;Wonderstuff;German Pilsener;258;12.0;5.4
1855;Tarnation California-Style Lager;California Common / Steam Beer;292;12.0;5.3
1778;On the Count of 3 (2015);Hefeweizen;292;16.0;7.000.000.000.000.000
1209;Summer Swelter;American Pale Wheat Ale;292;12.0;4.7
954;Phantom Punch Winter Stout;Foreign / Export Stout;292;12.0;6.800.000.000.000.000
910;Hayride Autumn Ale;Rye Beer;292;12.0;66.000.000.000.000.000
707;Celsius Summer Ale (2012);American Pale Wheat Ale;292;12.0;4.7
533;Amber Road;American Amber / Red Ale;292;12.0;5.5
183;Pamola Xtra Pale Ale;American Pale Ale (APA);292;12.0;4.9
182;Stowaway IPA;American IPA;292;12.0;6.9
1806;Hoptopus Double IPA;American Double / Imperial IPA;306;16.0;8.799.999.999.999.990
2435;Watermelon Ale;Fruit / Vegetable Beer;103;12.0;5.0
2423;Fenway American Pale Ale;American Pale Ale (APA);103;12.0;579.999.999.999.999
2420;Back Bay IPA;American IPA;103;12.0;6.800.000.000.000.000
2419;Bunker Hill Blueberry Ale ;Other;103;12.0;4.8
2494;Oberon;American Pale Wheat Ale;76;12.0;579.999.999.999.999
2325;Smitten;Rye Beer;76;16.0;6.0
2022;Winter White;Witbier;76;16.0;5.0
1989;Oberon;American Pale Wheat Ale;76;16.0;579.999.999.999.999
1988;Two Hearted;American IPA;76;16.0;7.000.000.000.000.000
1955;Best Brown;American Brown Ale;76;16.0;579.999.999.999.999
2558;Moar;English India Pale Ale (IPA);53;12.0;43.999.999.999.999.900
2557;Uber Lupin Schwarz IPA;American Double / Imperial IPA;53;16.0;8.3
2556;Nordic Blonde;American Blonde Ale;53;12.0;5.7
2496;Cold Press;American Black Ale;75;12.0;6.0
2410;Harness the Winter;American IPA;75;12.0;7.199.999.999.999.990
1902;14° ESB ;Extra Special / Strong Bitter (ESB);75;12.0;559.999.999.999.999
1901;Bent Hop Golden IPA;American IPA;75;12.0;6.2
1261;Bent Paddle Black Ale;American Black Ale;75;12.0;6.0
1253;Venture Pils;German Pilsener;75;12.0;5.0
1900;Lost Sailor IPA;English India Pale Ale (IPA);278;12.0;5.5
1317;Steel Rail Extra Pale Ale;American Pale Ale (APA);278;12.0;5.3
1158;La Frontera Premium IPA;American IPA;463;12.0;7.8
1157;Tejas Lager;Czech Pilsener;463;12.0;4.7
1156;Number 22 Porter;American Porter;463;12.0;6.4
1155;Big Bend Hefeweizen;Hefeweizen;463;12.0;559.999.999.999.999
1154;Terlingua Gold;American Blonde Ale;463;12.0;6.0
2104;Aprè Shred;American Strong Ale;220;16.0;8.1
1762;Hemlock Double IPA;American Double / Imperial IPA;220;12.0;9.5
1422;West Portal Colorado Common Summer Ale;California Common / Steam Beer;220;16.0;409.999.999.999.999
1067;Disconnected Red;American Amber / Red Ale;220;16.0;6.7
1003;Big Elm IPA;American IPA;477;12.0;7.000.000.000.000.000
1002;Gerry Dog Stout;American Stout;477;12.0;6.5
1001;413 Farmhouse Ale;Saison / Farmhouse Ale;477;12.0;6.0
2639;Dark Star;American Stout;8;16.0;8.0
2469;Ryecoe;American IPA;8;16.0;6.2
2586;Blueberry Blonde;Fruit / Vegetable Beer;40;12.0;6.0
2585;Galaxy IPA;American IPA;40;16.0;7.5
643;Big River Pilsner;Czech Pilsener;519;12.0;5.0
632;House Brand IPA;American IPA;519;12.0;6.0
1714;Big Sky IPA;American IPA;336;12.0;6.2
1713;Scape Goat Pale Ale;English Pale Ale;336;12.0;5.0
1712;Montana Trout Slayer Ale;American Pale Wheat Ale;336;12.0;5.0
1711;Moose Drool Brown Ale;American Brown Ale;336;12.0;5.1
1456;Powder Hound Winter Ale;English Strong Ale;336;12.0;7.199.999.999.999.990
767;Moose Drool Brown Ale (2011);American Brown Ale;336;12.0;5.1
766;Montana Trout Slayer Ale (2012);American Pale Wheat Ale;336;12.0;5.0
579;Big Sky IPA (2012);American IPA;336;12.0;6.2
168;Summer Honey;American Blonde Ale;336;12.0;4.7
159;Scape Goat Pale Ale (2010);English Pale Ale;336;12.0;5.0
35;Montana Trout Slayer Ale (2009);American Pale Wheat Ale;336;12.0;5.0
34;Moose Drool Brown Ale (2009);American Brown Ale;336;12.0;5.1
2096;Arcus IPA;American IPA;221;12.0;6.9
2095;Wavemaker;American Amber / Red Ale;221;12.0;579.999.999.999.999
1257;Jack Pine Savage;American Pale Ale (APA);444;16.0;5.3
1256;Forest Fire Imperial Smoked Rye;Rye Beer;444;16.0;9.9
1255;Bad Axe Imperial IPA;American Double / Imperial IPA;444;16.0;9.8
986;Morning Wood;Oatmeal Stout;444;16.0;5.5
985;Bark Bite IPA;American IPA;444;16.0;66.000.000.000.000.000
2508;Jalapeno Pale Ale;American Pale Ale (APA);70;16.0;5.5
1441;Blown Out Brown;American Brown Ale;407;12.0;5.2
1413;Single Hop Ale;American Pale Ale (APA);407;12.0;6.3
1411;Sawtooth Ale;American Blonde Ale;407;12.0;5.4
2620;Saucy Intruder;Rye Beer;18;16.0;7.199.999.999.999.990
2412;Deception;American Blonde Ale;112;12.0;4.5
1898;Blackmarket Rye IPA;American IPA;112;12.0;7.5
1897;Black Market Hefeweizen;Hefeweizen;112;12.0;5.0
1896;Aftermath Pale Ale;American Pale Ale (APA);112;12.0;579.999.999.999.999
1850;American India Red Ale;American Strong Ale;294;12.0;7.1
1849;American Red Porter;American Porter;294;12.0;7.1
1848;American Red Saison;Saison / Farmhouse Ale;294;12.0;7.8
1847;Colorado Red Ale;American Amber / Red Ale;294;12.0;66.000.000.000.000.000
2485;Saddle Bronc Brown Ale;American Brown Ale;79;12.0;4.8
2484;Bomber Mountain Amber Ale;American Amber / Red Ale;79;12.0;4.6
2449;Flying Sailor;Rye Beer;95;12.0;7.3
2634;Nordskye ;American IPA;12;12.0;4.8
2153;North Third Stout;Foreign / Export Stout;12;12.0;6.0
1953;Honey Lav;American Pale Wheat Ale;12;12.0;5.2
1496;Coconut Brown Ale;American Brown Ale;12;12.0;6.800.000.000.000.000
1481;51K IPA;American IPA;12;12.0;7.000.000.000.000.000
1480;Grand Rabbits;Cream Ale;12;12.0;5.5
1564;1800 Big Log Wheat (2012);American Pale Wheat Ale;380;12.0;5.0
1541;Double Play Pilsner;American Pilsner;380;12.0;?
1321;Brewerhood Brown Ale;American Brown Ale;380;12.0;5.5
1320;Last Call Imperial Amber Ale;American Amber / Red Ale;380;12.0;8.0
1319;Pernicious Double IPA;American Double / Imperial IPA;380;12.0;9.6
1303;6-4-3 Double Play Pilsner;German Pilsener;380;12.0;5.2
1025;N Street Drive-In 50th Anniversary IPA;American Double / Imperial IPA;380;12.0;?
1012;467 Ethan's Stout;American Stout;380;12.0;5.0
942;1335 Wicked Snout;Saison / Farmhouse Ale;380;12.0;6.4
937;543 Skull Creek Fresh Hopped Pale Ale;American Pale Ale (APA);380;12.0;4.5
888;1327 Pod's ESB;Extra Special / Strong Bitter (ESB);380;12.0;559.999.999.999.999
886;1327 Pod's ESB;Extra Special / Strong Bitter (ESB);380;12.0;559.999.999.999.999
612;1327 Pod's ESB;Extra Special / Strong Bitter (ESB);380;12.0;559.999.999.999.999
611;834 Happy As Ale;American Pale Ale (APA);380;12.0;4.6
1372;Yellow Collar;Mead;422;12.0;58.999.999.999.999.900
1371;Green Collar;Mead;422;12.0;58.999.999.999.999.900
1812;Quarter Mile Double IPA;American Double / Imperial IPA;304;12.0;8.0
1547;Full Nelson Pale Ale;American Pale Ale (APA);382;12.0;58.999.999.999.999.900
1546;Steel Wheels ESB;Extra Special / Strong Bitter (ESB);382;12.0;6.5
1545;Blue Mountain Classic Lager;Euro Pale Lager;382;12.0;5.3
119;Full Nelson Pale Ale (2010);American Pale Ale (APA);382;12.0;58.999.999.999.999.900
1408;Kölsch 151;Kölsch;414;12.0;4.9
2490;Professor Black;American Stout;77;12.0;?
2489;Little Boss;American Pale Wheat Ale;77;12.0;?
2488;Van Dayum!;American Amber / Red Ale;77;12.0;?
2487;Spirit Animal;American Pale Ale (APA);77;12.0;?
939;Toxic Sludge;American Black Ale;489;16.0;7.000.000.000.000.000
692;Blue Point White IPA;American White IPA;489;12.0;6.0
667;Blue Point Summer Ale;American Blonde Ale;489;12.0;43.999.999.999.999.900
665;Toasted Lager;Vienna Lager;489;12.0;5.5
1607;Bohemian Export Lager;Dortmunder / Export Lager;364;12.0;6.0
1597;Altus Bohemes Altbier;Altbier;364;12.0;5.3
344;Cherny Bock;Schwarzbier;364;12.0;4.0
89;Czech Pilsner;Czech Pilsener;364;12.0;5.0
88;Viennese Lager;Vienna Lager;364;12.0;5.0
1569;Mad Manatee IPA;American IPA;378;12.0;6.5
1568;Killer Whale Cream Ale;Cream Ale;378;12.0;5.5
1188;Duke's Cold Nose Brown Ale;American Brown Ale;378;12.0;6.0
1891;Longhop IPA;American IPA;281;16.0;4.2
1890;Lucky Buck;Irish Dry Stout;281;16.0;4.0
577;Bomb Lager (New Recipe);Munich Helles Lager;525;12.0;5.1
513;Bomb Lager (Old Recipe);Munich Helles Lager;525;12.0;4.5
2422;Firestarter India Pale Ale;American IPA;107;12.0;66.000.000.000.000.000
1727;Kilt Dropper Scotch Ale;Scotch Ale / Wee Heavy;107;16.0;7.5
1614;Wood Splitter Pilsner;Czech Pilsener;107;16.0;4.8
1613;Gyptoberfest;Märzen / Oktoberfest;107;12.0;559.999.999.999.999
1549;Farmer Wirtz India Pale Ale;English India Pale Ale (IPA);107;16.0;7.000.000.000.000.000
1548;Slow & Steady Golden Ale;American Blonde Ale;107;12.0;4.7
1517;Pink-I Raspberry IPA;American IPA;107;16.0;6.800.000.000.000.000
1500;Moe's Original Bar B Que 'Bama Brew Golden Ale;American Blonde Ale;107;12.0;4.7
1421;Live Local Golden Ale;American Blonde Ale;107;12.0;4.7
1360;Screaming Eagle Special Ale ESB;Extra Special / Strong Bitter (ESB);107;12.0;4.8
1184;Dirtbag Dunkel;Munich Dunkel Lager;107;16.0;4.9
1183;Kindler Pale Ale;American Pale Ale (APA);107;12.0;5.3
1023;Mistress Winter Wheat;Winter Warmer;107;12.0;6.4
998;Tent Pole Vanilla Porter;American Porter;107;16.0;6.1
997;Awry Rye Pale Ale;American Pale Ale (APA);107;12.0;579.999.999.999.999
996;Demshitz Brown Ale;American Brown Ale;107;12.0;579.999.999.999.999
931;Wood Splitter Pilsner (2012);Czech Pilsener;107;12.0;4.8
798;Brush Creek Blonde;American Blonde Ale;107;16.0;4.8
633;Firestarter India Pale Ale;American IPA;107;16.0;66.000.000.000.000.000
2062;Noche Dulce;American Porter;231;16.0;7.1
1830;Porch Rocker;Radler;300;12.0;4.5
1629;Rebel IPA;American IPA;300;16.0;6.5
1601;Cold Snap;Witbier;300;12.0;5.5
1427;Samuel Adams Winter Lager;Bock;300;12.0;559.999.999.999.999
1349;Boston Lager;Vienna Lager;300;16.0;4.9
1310;Boston Lager;Vienna Lager;300;12.0;4.9
1281;Samuel Adams Octoberfest;Märzen / Oktoberfest;300;12.0;5.3
1144;Samuel Adams Summer Ale;American Pale Wheat Ale;300;12.0;5.3
1143;Boston Lager;Vienna Lager;300;12.0;4.9
1395;Hazed & Infused;American Pale Ale (APA);417;12.0;4.9
808;Hoopla Pale Ale;American Pale Ale (APA);417;12.0;5.7
81;Hazed & Infused (2010);American Pale Ale (APA);417;12.0;4.9
2596;Heavy Lifting;American IPA;31;12.0;6.2
2300;1492;American Pale Ale (APA);167;12.0;6.5
2299;Mango Ginger;American IPA;167;12.0;579.999.999.999.999
2298;Passenger;English Dark Mild Ale;167;12.0;4.7
2107;Plum St. Porter;American Porter;219;12.0;6.0
1573;Plum St. Porter;American Porter;219;12.0;5.7
1289;Bozone HopZone IPA;American IPA;219;12.0;7.000.000.000.000.000
1288;Bozone Hefe Weizen;Hefeweizen;219;12.0;6.0
470;Bozone Select Amber Ale;American Amber / Red Ale;219;12.0;5.5
2167;Evil Owl;American Amber / Red Ale;207;12.0;5.2
2204;Post Time Kölsch;Kölsch;195;16.0;5.0
1522;Agave Wheat;American Pale Wheat Ale;391;12.0;4.2
397;SummerBright Ale;American Pale Wheat Ale;391;12.0;4.5
193;Lucky U IPA;American IPA;391;12.0;6.2
83;Avalanche Ale;American Amber / Red Ale;391;12.0;5.4
1802;You're My Boy Blue;Fruit / Vegetable Beer;308;12.0;5.0
1801;Last Stop IPA;American IPA;308;12.0;7.199.999.999.999.990
1800;Rollin Dirty Red Ale;Irish Red Ale;308;12.0;5.0
1799;Are Wheat There Yet?;American Pale Wheat Ale;308;12.0;5.5
2619;Insert Hop Reference;American Pale Ale (APA);19;16.0;579.999.999.999.999
2468;Manitou Amber;American Amber / Red Ale;85;16.0;5.3
2637;Belfort;Saison / Farmhouse Ale;10;16.0;6.7
2636;Star Runner;Belgian Pale Ale;10;16.0;6.0
2598;Tart Side of the Barrel;American Double / Imperial Stout;10;16.0;9.8
2597;Linnaeus Mango IPA;American IPA;10;16.0;6.0
2548;Beasts A'Burnin';Rauchbier;10;16.0;7.000.000.000.000.000
2542;Verdun;Bière de Garde;10;16.0;7.7
2541;Barrel Aged Triomphe;Belgian IPA;10;16.0;6.5
2504;Cherry Doppelbock;Doppelbock;10;16.0;6.5
2500;Tropical Saison;Saison / Farmhouse Ale;10;16.0;6.5
2499;Beach Patrol;Witbier;10;16.0;6.5
2498;Nuit Serpent;Belgian IPA;10;16.0;5.0
2481;Paris;Saison / Farmhouse Ale;10;16.0;9.0
2476;The Grand Army;Belgian IPA;10;16.0;5.5
2467;Acidulated Trip;Saison / Farmhouse Ale;10;16.0;58.999.999.999.999.900
2466;Root Stock;Rye Beer;10;16.0;66.000.000.000.000.000
2465;Mind Games;Dunkelweizen;10;16.0;409.999.999.999.999
2433;Sous Chef;Belgian Strong Pale Ale;10;16.0;819.999.999.999.999
2418;Dubbelicious;Dubbel;10;16.0;6.5
2416;Psychopomp;Belgian Dark Ale;10;16.0;6.2
2382;Fat Paczki;Belgian Dark Ale;10;16.0;?
2381;Earth-Like Planets;Belgian Pale Ale;10;16.0;?
2290;Ski Patrol;Witbier;10;16.0;6.1
2241;Viking Ice Hole;Oatmeal Stout;10;16.0;6.3
2240;Rye Porter;American Porter;10;16.0;559.999.999.999.999
2137;Wizard Burial Ground;Quadrupel (Quad);10;16.0;9.9
2101;Smoky Wheat;Rauchbier;10;16.0;5.1
2092;BRIPA;Belgian IPA;10;16.0;6.2
2091;Mela;Belgian Dark Ale;10;16.0;6.2
2086;W.I.P.A Snappa;Belgian IPA;10;16.0;5.3
2023;Pepper in the Rye;Rye Beer;10;16.0;6.3
