Age;Gender;Country;state;self_employed;family_history;treatment;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence
27;female;United States;MI;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;No;No;Don't know;Don't know;Don't know;Very difficult;No;No;Some of them;No;No;No;Don't know;No
24;M;United States;OR;No;No;No;?;1-5;No;Yes;Don't know;No;Don't know;No;Yes;Very easy;No;No;Yes;Yes;Maybe;Yes;Yes;No
32;male;United States;WA;No;No;No;Rarely;1-5;Yes;Yes;No;Yes;No;No;Don't know;Very difficult;No;No;Some of them;Yes;No;Maybe;Yes;No
34;Male;Australia;?;Yes;No;No;Sometimes;1-5;Yes;Yes;Don't know;Not sure;Yes;Yes;Don't know;Somewhat difficult;Yes;Yes;No;No;No;Maybe;Yes;No
26;male;United Kingdom;?;Yes;No;Yes;Sometimes;1-5;No;Yes;No;Yes;No;No;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;Maybe;Yes;No
34;male;United States;FL;No;Yes;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Somewhat difficult;Maybe;No;Some of them;Some of them;No;Maybe;No;Yes
32;M;United States;NC;No;Yes;Yes;Sometimes;1-5;Yes;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Yes;Yes;No;Yes;Don't know;No
24;Male;United Kingdom;?;No;No;No;?;1-5;No;Yes;No;No;No;No;Don't know;Don't know;Yes;No;Some of them;Some of them;No;Yes;No;No
32;Male;United Kingdom;?;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Very easy;Maybe;Maybe;Yes;Some of them;Maybe;Maybe;Don't know;Yes
30;Male;Ireland;?;Yes;No;No;Sometimes;1-5;Yes;Yes;No;No;No;No;Don't know;Somewhat difficult;No;No;Some of them;Some of them;No;Maybe;No;No
38;Female;United States;TX;No;No;Yes;Sometimes;1-5;No;Yes;No;Yes;No;No;Don't know;Don't know;No;Maybe;Some of them;No;No;No;Don't know;Yes
30;Male;Switzerland;?;Yes;No;No;Never;1-5;No;Yes;No;No;No;No;No;Somewhat easy;No;No;Yes;Yes;No;No;Yes;No
36;Male;United States;WA;Yes;No;Yes;Never;1-5;No;Yes;No;Yes;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;Yes;No;No;Yes;No
30;Male;United States;OH;Yes;No;No;Never;1-5;Yes;Yes;No;Yes;No;No;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;Maybe;Don't know;No
33;male;Germany;?;Yes;Yes;Yes;Rarely;1-5;No;No;No;No;No;No;Don't know;Somewhat difficult;Yes;Yes;No;No;Maybe;No;Yes;Yes
45;Male;Ireland;?;Yes;No;Yes;Often;1-5;No;Yes;No;No;No;No;Don't know;Very difficult;No;No;No;No;No;No;Don't know;No
33;Male;United Kingdom;?;No;No;No;Rarely;1-5;Yes;Yes;Don't know;No;No;No;Don't know;Don't know;Yes;Maybe;No;No;No;Maybe;No;No
29;M;United States;IN;Yes;No;No;?;1-5;Yes;Yes;No;Yes;No;No;Yes;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
29;Nah;United States;CA;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;Yes;Yes;No;No;Don't know;Very difficult;Yes;No;Some of them;No;No;Maybe;No;No
99999999999;All;Zimbabwe;?;Yes;Yes;Yes;Often;1-5;No;Yes;No;Yes;No;No;No;Very difficult;Yes;Yes;No;No;Yes;No;No;Yes
55;M;United States;ID;No;Yes;Yes;Sometimes;1-5;Yes;Yes;No;Yes;No;Don't know;Don't know;Don't know;Yes;Maybe;No;No;No;No;No;Yes
28;male;Germany;?;No;Yes;Yes;Rarely;1-5;Yes;Yes;Yes;No;No;No;Yes;Very easy;No;No;Yes;Yes;No;No;Yes;No
33;male;United States;MS;Yes;No;Yes;Often;1-5;Yes;Yes;No;No;No;No;Yes;Somewhat easy;Yes;Maybe;Some of them;Some of them;Yes;Yes;Don't know;No
29;Male;United States;PA;No;Yes;Yes;Rarely;1-5;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
18;Female;United Kingdom;?;No;Yes;Yes;Sometimes;1-5;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don't know;No
30;Male;United States;CA;Yes;Yes;Yes;Often;1-5;Yes;Yes;No;Yes;No;No;Yes;Very easy;No;No;Yes;Yes;No;No;Yes;No
24;Female;United States;CA;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;No;No;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Some of them;No;No;Don't know;Yes
25;female;United States;CA;Yes;Yes;Yes;Often;1-5;Yes;Yes;Don't know;Not sure;No;No;Yes;Somewhat difficult;Yes;No;Some of them;No;No;Maybe;No;Yes
36;M;United States;IL;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;Don't know;Yes;Don't know;No;Yes;Somewhat difficult;Maybe;No;Some of them;Yes;No;Yes;Yes;No
24;male;Austria;?;Yes;No;No;Sometimes;1-5;No;Yes;Yes;Yes;Don't know;Don't know;Yes;Somewhat easy;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No
27;female;Hungary;?;Yes;Yes;No;Sometimes;1-5;Yes;Yes;No;No;No;No;No;Very difficult;Yes;Maybe;No;No;No;Maybe;No;No
29;female;Canada;?;No;No;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;No;Yes;No
23;Male;United States;CA;No;Yes;Yes;Rarely;1-5;No;Yes;No;Yes;No;No;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;Yes;No
27;Male;Singapore;?;No;No;No;Sometimes;1-5;Yes;Yes;No;No;No;No;Yes;Don't know;Yes;No;Some of them;Yes;No;No;No;No
19;Male;Canada;?;No;Yes;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;No;No;Maybe;Don't know;No
30;cis-female/femme;United States;WI;Yes;Yes;Yes;Often;1-5;Yes;No;No;Yes;No;Yes;Yes;Somewhat difficult;No;No;Yes;Yes;No;No;Yes;No
50;Male;United States;WY;No;No;No;Sometimes;1-5;Yes;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Yes;Maybe;Some of them;Some of them;No;Maybe;Don't know;No
27;Male;Australia;?;No;No;No;Never;1-5;Yes;Yes;No;No;No;No;Don't know;Don't know;Yes;No;No;No;No;Maybe;Don't know;No
22;M;Netherlands;?;Yes;No;No;Never;1-5;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;No;Maybe;Some of them;Yes;Maybe;Yes;No;Yes
35;Male;United States;?;Yes;No;No;?;1-5;Yes;Yes;Yes;Not sure;No;No;Yes;Very easy;No;No;Some of them;Yes;No;No;Yes;No
49;male;Japan;?;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;No;Yes;Yes;No;Don't know;Somewhat difficult;Yes;Yes;No;No;No;No;No;Yes
54;male;United Kingdom;?;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;Don't know;Not sure;No;No;Don't know;Very easy;No;No;Some of them;Yes;Yes;Yes;Don't know;Yes
29;male;Poland;?;No;No;No;Rarely;1-5;No;Yes;No;No;No;No;No;Somewhat difficult;No;Maybe;Some of them;No;No;No;Yes;No
32;male;Germany;?;Yes;No;No;Never;1-5;Yes;Yes;No;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;No;Maybe;Don't know;No
27;Male;United Kingdom;?;No;No;No;Never;1-5;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Don't know;No
26;Male;Ireland;?;Yes;No;No;Never;1-5;Yes;Yes;No;No;No;No;Don't know;Somewhat difficult;Maybe;No;Some of them;Yes;Maybe;Maybe;Yes;No
22;male;India;?;Yes;No;No;?;1-5;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Very easy;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Yes;Yes
29;Male;Germany;?;Yes;No;No;?;1-5;No;Yes;No;Yes;No;No;Yes;Very easy;No;No;Yes;Yes;Yes;Yes;Yes;No
45;Male;United States;VA;No;No;Yes;Often;1-5;Yes;Yes;Yes;Not sure;No;Yes;Don't know;Very easy;No;No;Yes;Yes;No;Maybe;Yes;No
29;M;Netherlands;?;No;No;No;Never;1-5;Yes;Yes;No;No;No;No;Yes;Somewhat easy;No;No;Yes;Yes;No;Maybe;Yes;No
33;M;United States;WA;Yes;Yes;Yes;Rarely;1-5;Yes;Yes;No;Yes;Yes;Yes;No;Very difficult;No;No;Yes;Yes;No;No;Yes;Yes
32;Male;United States;NY;Yes;No;Yes;Sometimes;1-5;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Very easy;No;No;Yes;Yes;Yes;Yes;Don't know;No
32;Male;United States;PA;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;Yes;Yes;Don't know;Don't know;Don't know;Very difficult;Yes;Maybe;Some of them;No;No;No;No;No
29;male;Canada;?;No;No;No;?;1-5;Yes;Yes;No;Yes;No;No;Don't know;Somewhat difficult;Maybe;Maybe;Yes;Yes;No;Maybe;Don't know;No
33;Male;United States;WY;No;Yes;Yes;Sometimes;1-5;No;No;No;Yes;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Don't know;No
43;Male;Croatia;?;Yes;No;Yes;Sometimes;1-5;Yes;Yes;No;No;No;No;Yes;Very difficult;Yes;No;Yes;No;No;Maybe;No;Yes
31;Male;Canada;?;Yes;Yes;No;Sometimes;1-5;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;No;No;No;No;Yes;No
37;Male;Ireland;?;No;Yes;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
38;Male;Ireland;?;No;Yes;Yes;Sometimes;1-5;No;Yes;No;No;No;No;No;Very difficult;Yes;Yes;No;No;No;No;No;No
33;Female;United States;AZ;Yes;Yes;Yes;Sometimes;1-5;No;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat easy;Maybe;Yes;Some of them;No;No;No;No;No
33;Male;United States;VA;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;No;Yes;No;No;Yes;Very easy;Maybe;Maybe;Yes;Yes;No;No;Yes;No
33;M;United States;CA;Yes;No;No;?;1-5;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Yes;Yes;No;Maybe;Don't know;No
32;Male;United Kingdom;?;Yes;Yes;No;?;1-5;No;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;No;Yes;No;Maybe;No;No
35;Male;United States;MO;No;No;Yes;Often;1-5;No;No;No;No;No;No;Yes;Very difficult;Yes;No;Some of them;Some of them;No;Yes;No;Yes
36;F;United Kingdom;?;Yes;No;No;Sometimes;1-5;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;No;Some of them;No;No;No;Don't know;No
44;male;United States;?;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;No;Yes;No;No;No;Very easy;Yes;Yes;Some of them;No;No;No;Yes;No
35;Male;Denmark;?;Yes;Yes;Yes;Often;1-5;No;Yes;No;Yes;Yes;No;Don't know;Somewhat easy;No;No;Some of them;Some of them;Maybe;Yes;Yes;No
35;Male;Denmark;?;Yes;Yes;Yes;Often;1-5;No;Yes;No;Yes;Yes;No;Don't know;Somewhat easy;No;No;Some of them;Some of them;Maybe;Yes;Yes;No
40;M;United States;MI;Yes;No;No;Sometimes;1-5;Yes;Yes;Don't know;Not sure;No;No;Don't know;Somewhat easy;Yes;Maybe;Some of them;No;No;No;Don't know;No
35;Male;United States;MI;No;Yes;Yes;Sometimes;1-5;No;No;No;Yes;No;No;Yes;Don't know;No;No;Some of them;Yes;No;No;Yes;No
34;male;United States;TX;No;No;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Don't know;Yes;No;No;No;No;Yes;Don't know;No
36;Male;Netherlands;?;Yes;No;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Very easy;No;No;Yes;No;No;No;Yes;No
40;m;United States;TN;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;No;Yes;No;No;Yes;Very easy;No;No;Yes;Yes;No;No;Yes;No
42;Male;United States;WI;No;No;Yes;Sometimes;1-5;Yes;Yes;No;Yes;No;No;Don't know;Somewhat easy;Maybe;No;No;No;No;Maybe;Don't know;No
26;Male;United Kingdom;?;Yes;No;Yes;Rarely;1-5;Yes;Yes;No;Not sure;Don't know;Don't know;Don't know;Somewhat difficult;No;No;Yes;Yes;Maybe;Maybe;Yes;No
39;M;United States;KS;No;No;No;?;1-5;Yes;Yes;No;Yes;No;No;Don't know;Very difficult;Maybe;Maybe;Some of them;Yes;Maybe;Maybe;No;No
32;male;Germany;?;Yes;No;No;Sometimes;1-5;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Some of them;Some of them;Maybe;Maybe;No;No
36;male;United States;VA;Yes;No;No;Never;1-5;No;Yes;Yes;No;No;Don't know;Don't know;Somewhat difficult;No;No;Some of them;Yes;Yes;Yes;Yes;No
32;Male;United States;TN;Yes;Yes;Yes;Rarely;1-5;Yes;Yes;No;Yes;No;No;Don't know;Very difficult;Yes;No;Some of them;No;No;Maybe;Don't know;No
34;male;Germany;?;Yes;No;Yes;Sometimes;1-5;Yes;Yes;No;Not sure;No;No;Yes;Somewhat difficult;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
50;Male;United States;VA;Yes;No;No;Never;1-5;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;No;Maybe;Yes;No
25;f;United States;CA;Yes;No;Yes;Often;1-5;No;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;Maybe;Maybe;Some of them;Some of them;No;No;Yes;Yes
24;Male;United Kingdom;?;Yes;No;No;?;1-5;Yes;Yes;No;Yes;No;No;Yes;Very easy;No;No;No;No;No;Maybe;Yes;No
51;m;United States;CO;Yes;No;No;Never;1-5;No;Yes;No;Yes;No;No;Yes;Somewhat difficult;No;No;Some of them;Some of them;Maybe;Maybe;Don't know;No
30;Male;United States;PA;Yes;No;No;Never;1-5;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don't know;No
34;male;United Kingdom;?;Yes;No;Yes;Sometimes;1-5;Yes;Yes;No;No;No;No;Yes;Somewhat difficult;No;No;Some of them;Some of them;No;No;Yes;No
34;male;United States;TX;No;No;No;Often;1-5;No;Yes;Don't know;No;No;Yes;Don't know;Very easy;No;No;Some of them;Yes;No;Maybe;Yes;No
38;Male;United Kingdom;?;Yes;Yes;Yes;Rarely;1-5;Yes;No;No;No;No;No;Yes;Very difficult;Maybe;No;No;No;No;No;No;No
61;male;South Africa;?;Yes;No;Yes;Sometimes;1-5;Yes;Yes;No;No;No;No;Don't know;Very difficult;Yes;Maybe;Some of them;Yes;No;Maybe;No;Yes
34;male;Netherlands;?;Yes;Yes;Yes;Rarely;1-5;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;No;No;Yes;Some of them;No;Maybe;Yes;No
24;M;United Kingdom;?;Yes;Yes;No;Often;1-5;Yes;Yes;Don't know;Not sure;No;No;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;Maybe;Don't know;No
33;Male;United Kingdom;?;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;No;Yes;No;No;No;Very difficult;Yes;Maybe;Some of them;Some of them;No;Maybe;No;Yes
26;Female;United Kingdom;?;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;No;No;No;No;Don't know;Very easy;Maybe;No;Some of them;Yes;No;Maybe;Yes;No
33;female;United Kingdom;?;Yes;No;Yes;Sometimes;1-5;Yes;Yes;No;Yes;Yes;Yes;Yes;Very easy;No;No;Some of them;Yes;No;No;Don't know;No
40;Male;United States;ME;No;Yes;Yes;Sometimes;1-5;Yes;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Yes;No;Maybe;No;No
37;Female;Canada;?;Yes;Yes;Yes;Rarely;1-5;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;Yes;Maybe;Some of them;Some of them;Maybe;Maybe;Don't know;Yes
8;A little about you;Bahamas, The;IL;Yes;Yes;Yes;Often;1-5;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
38;Male;United Kingdom;?;No;No;No;?;1-5;Yes;Yes;No;No;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;No;No;Don't know;No
28;male;United Kingdom;?;Yes;No;No;?;1-5;Yes;Yes;No;Yes;No;No;Yes;Very easy;Maybe;Maybe;No;No;No;No;Yes;No
35;Male;United Kingdom;?;Yes;No;No;Sometimes;1-5;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Somewhat easy;No;No;Some of them;Yes;No;No;Don't know;No
35;Male;United Kingdom;?;No;Yes;Yes;Sometimes;1-5;No;Yes;No;Yes;No;No;Yes;Very easy;Yes;Yes;Some of them;Some of them;No;Maybe;Yes;Yes
33;female;United States;TX;Yes;No;No;Never;1-5;Yes;Yes;No;Yes;Don't know;Don't know;Yes;Somewhat easy;Maybe;No;No;Some of them;No;No;Yes;No
19;Male;United States;IN;No;No;No;Sometimes;1-5;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Don't know;No
34;Female;United States;CA;No;No;No;Sometimes;1-5;No;Yes;No;Not sure;No;No;Don't know;Very easy;No;No;Some of them;Yes;No;Maybe;Yes;No
41;Male;United States;IL;Yes;No;Yes;Often;1-5;Yes;No;No;Yes;Yes;Yes;Yes;Very difficult;No;No;Some of them;Some of them;No;No;Yes;Yes
39;Male;United Kingdom;?;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;No;Yes;Yes;Yes;Yes;Somewhat difficult;No;No;Yes;Yes;No;Maybe;Yes;Yes
36;Male;United States;FL;No;No;No;Never;1-5;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Very easy;No;No;Some of them;Some of them;No;No;Don't know;No
44;M;United States;FL;Yes;No;No;Never;1-5;Yes;Yes;Don't know;No;No;No;Yes;Somewhat difficult;No;No;No;No;No;No;Don't know;No
43;Male;United States;VA;Yes;Yes;Yes;Sometimes;1-5;Yes;Yes;Yes;Not sure;No;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;Maybe;Don't know;No
32;male;Netherlands;?;Yes;No;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Yes;Very difficult;Maybe;No;Some of them;Yes;No;Maybe;No;No
25;Male;United States;UT;No;Yes;Yes;Often;1-5;No;Yes;No;Yes;No;No;Yes;Very easy;Maybe;No;Yes;Yes;No;Maybe;No;No
29;Male;Netherlands;?;No;Yes;Yes;Often;1-5;No;Yes;Don't know;Not sure;Don't know;Yes;Don't know;Very difficult;No;Maybe;Yes;Yes;Maybe;No;Yes;No
32;male;United Kingdom;?;No;Yes;Yes;Sometimes;1-5;No;No;Yes;Yes;Yes;Yes;Yes;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;No;No
11;male;United States;OH;Yes;No;No;Never;1-5;Yes;Yes;No;Yes;No;No;Yes;Very easy;No;No;Some of them;Some of them;No;Maybe;Yes;No
36;male;United States;AL;Yes;No;Yes;Sometimes;1-5;No;No;No;Yes;No;No;No;Very difficult;No;No;No;No;No;No;No;Yes
33;Female;Canada;?;Yes;Yes;Yes;Often;1-5;Yes;Yes;No;Yes;No;No;No;Very difficult;Yes;Yes;No;No;No;Maybe;No;Yes
25;Male;United States;MN;No;Yes;Yes;Sometimes;1-5;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Very easy;No;No;Yes;Yes;Maybe;Yes;Don't know;No
34;Male;United States;VT;No;No;No;Never;1-5;Yes;Yes;No;Yes;No;No;Don't know;Don't know;Yes;Yes;No;No;No;No;Don't know;No
32;Male;United Kingdom;?;Yes;No;Yes;Rarely;1-5;No;Yes;No;Yes;Yes;Yes;Yes;Very easy;No;No;Some of them;Yes;No;Yes;No;Yes
26;Male;Germany;?;Yes;Yes;Yes;Often;1-5;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Yes;Yes;Maybe;Yes;No;Yes
-1;p;United States;AL;Yes;Yes;Yes;Often;1-5;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
38;Male;United Kingdom;?;No;Yes;Yes;Sometimes;1-5;No;Yes;No;Not sure;Don't know;Don't know;Don't know;Very easy;No;No;Some of them;Yes;Maybe;Yes;Don't know;No
37;Male;Netherlands;?;Yes;No;No;Never;1-5;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Very easy;Yes;Yes;Some of them;Some of them;No;No;Don't know;No
23;Male;United Kingdom;?;No;No;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Very difficult;Maybe;No;Yes;Yes;Yes;Yes;No;Yes
40;m;China;?;Yes;No;No;Sometimes;1-5;Yes;Yes;No;Yes;No;No;Don't know;Somewhat easy;No;No;Some of them;Some of them;Maybe;Maybe;Don't know;No
35;female;United States;IN;No;Yes;Yes;Sometimes;1-5;Yes;Yes;No;No;No;No;Yes;Don't know;Maybe;Maybe;Some of them;Some of them;No;No;Yes;No
56;female;United States;OR;Yes;No;No;Rarely;1-5;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;Maybe;No;No;No;No;Don't know;No
35;Female;Ireland;?;No;No;No;Rarely;1-5;No;Yes;Don't know;No;No;No;No;Don't know;Maybe;No;Some of them;No;No;Maybe;No;No
31;Male;Brazil;?;Yes;No;Yes;?;1-5;No;Yes;No;Yes;No;No;No;Don't know;No;No;Yes;Yes;No;Maybe;Don't know;No
34;Male;Ireland;?;No;Yes;Yes;Never;1-5;Yes;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;Don't know;No
23;Male;United States;TX;No;No;Yes;Sometimes;1-5;No;Yes;No;Yes;No;No;No;Very easy;Maybe;Maybe;Some of them;Yes;No;No;No;No
24;male;Ireland;?;No;Yes;No;?;1-5;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;No;No;No;No;Don't know;No
