dataset;algoritmo;MV;metric2
police_MBUV;pipeline;595;0.06
police_MBUV;baseline;595;0.7
police_MBUV;pipeline;793;0.08
police_MBUV;baseline;793;0.84
police_MBUV;pipeline;992;0.07
police_MBUV;baseline;992;0.8
police_MBUV;pipeline;1984;0.17
police_MBUV;baseline;1984;0.93
police_MBUV;pipeline;3967;0.22
police_MBUV;baseline;3967;0.93
police_MBUV;pipeline;5951;0.22
police_MBUV;baseline;5951;0.75
police_MBUV;pipeline;7934;0.42
police_MBUV;baseline;7934;0.53
police_MBUV;pipeline;9918;0.36
police_MBUV;baseline;9918;0.32
restaurant_MBUV;pipeline;52;0.1
restaurant_MBUV;baseline;52;0.31
restaurant_MBUV;pipeline;104;0.12
restaurant_MBUV;baseline;104;0.4
restaurant_MBUV;pipeline;156;0.08
restaurant_MBUV;baseline;156;0.46
restaurant_MBUV;pipeline;207;0.12
restaurant_MBUV;baseline;207;0.74
restaurant_MBUV;pipeline;259;0.15
restaurant_MBUV;baseline;259;0.93
restaurant_MBUV;pipeline;518;0.26
restaurant_MBUV;baseline;518;0.85
restaurant_MBUV;pipeline;1037;0.21
restaurant_MBUV;baseline;1037;0.8
restaurant_MBUV;pipeline;1555;0.25
restaurant_MBUV;baseline;1555;0.8
restaurant_MBUV;pipeline;2074;0.45
restaurant_MBUV;baseline;2074;0.61
restaurant_MBUV;pipeline;2592;0.56
restaurant_MBUV;baseline;2592;0.48
