dataset;algoritmo;MV;metric1
IoT_Telemetry3000;baseline;9600;1.0
IoT_Telemetry3000;pipeline;12000;0.88
IoT_Telemetry3000;baseline;12000;1.0
Air_9000;pipeline;1170;0.25
Air_9000;baseline;1170;0.96
Air_9000;pipeline;2340;0.3
Air_9000;baseline;2340;0.99
Air_9000;pipeline;3510;0.32
Air_9000;baseline;3510;1.0
Air_9000;pipeline;4680;0.34
Air_9000;baseline;4680;1.0
Air_9000;pipeline;5850;0.36
Air_9000;baseline;5850;1.0
Air_9000;pipeline;11700;0.43
Air_9000;baseline;11700;1.0
Air_9000;pipeline;23400;0.47
Air_9000;baseline;23400;0.99
Air_9000;pipeline;35100;0.52
Air_9000;baseline;35100;0.76
Air_9000;pipeline;46800;0.42
Air_9000;baseline;46800;0.65
Air_9000;pipeline;58500;0.44
Air_9000;baseline;58500;0.72
Cats_1071;pipeline;107;1.0
Cats_1071;baseline;107;1.0
Cats_1071;pipeline;214;1.0
Cats_1071;baseline;214;1.0
Cats_1071;pipeline;321;0.99
Cats_1071;baseline;321;1.0
Cats_1071;pipeline;428;0.99
Cats_1071;baseline;428;1.0
Cats_1071;pipeline;536;1.0
Cats_1071;baseline;536;1.0
Cats_1071;pipeline;1071;0.91
Cats_1071;baseline;1071;1.0
Cats_1071;pipeline;2142;0.9
Cats_1071;baseline;2142;1.0
Cats_1071;pipeline;3213;0.87
Cats_1071;baseline;3213;0.76
Cats_1071;pipeline;4284;0.89
Cats_1071;baseline;4284;0.94
Cats_1071;pipeline;5355;0.88
Cats_1071;baseline;5355;0.97
